"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"Savoy Theatre","Savoy Court, Strand, London WC2R 0ET, UK",51.510098,-0.1207622,"8am-5pm: $1.20 per hr","Aft 5pm: $3.00 per entry","Same as wkdays","$3.00 per entry","-"
"Serene Centre","10 Jalan Serene, Singapore 258748",1.3226018,103.8136977,"8am-10pm: $1.53 for 1st hr; $1.53 for sub. ½ hr","Aft 10pm: $1.53 per entry","Same as wkdays","Same as wkdays","-"
"Sunshine Place","475 Choa Chu Kang Avenue 3, Singapore 680475",1.3782777,103.7390269,"HDB coupon parking","HDB coupon parking","HDB coupon parking","HDB coupon parking","-"
"The Clementi Mall","3155 Commonwealth Ave W, The Clementi Mall, Singapore 129588",1.3148573,103.7642179,"Daily: $1.50 for 1st hr; $0.80 for sub. ½ hr","-","-","-","-"
"The Metropolis","9 N Buona Vista Dr, The Metropolis, Singapore 138588",1.306171,103.7915501,"""6am-6pm: $2.50 for 1st hr, sub $1.25 per 1/2 hr""","Time period 1: 6pm-12am: $2.50 per entry; Time period 2: 12am-6am: $2.50 per entry","6am - 6pm: $1.00 per hour or part thereof; Aft 6pm same as wkdays","6am - 6pm: $1.00 per hour or part thereof; Aft 6pm same as wkdays","-"
"The Star Vista","1 Vista Exchange Green, Singapore 138617",1.3067634,103.7884236,"""12am-11.59pm:$1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof.""","""$1.30 for 1st hr, $0.65 for sub. 30 mins or part thereof.""","Sat & PH: Same as wkdays","""Sun:12am-11.59pm: $2.14 for 1st hr, $1.07 for sub. 30 mins or part thereof.""","-"
"Tiong Bahru Plaza","302 Tiong Bahru Rd, 110, Singapore 168732",1.2863149,103.8274034,"$1.50 for 1st hr; $0.80 for sub. ½ hr","$1.50 for 1st hr; $0.80 for sub. ½ hr","Same as wkdays","7am-6pm:$1.50 per hr; Aft 6pm: $3.60 per entry","-"
"Turf City","200 Turf Club Rd, Singapore 287994",1.3378923,103.7933377,"Daily: Free parking","-","-","-","-"
"Valley Point","491 River Valley Rd, Singapore 248371",1.2929613,103.8270554,"Daily: $1.50 for 1st hr; $0.80 for sub. ½ hr","-","-","-","-"
"West Coast Plaza (Ginza Plaza)","154 West Coast Rd, Singapore 127371",1.303644,103.765892,"$1.25 for 1st hr; $1.00 for sub. ½ hr","$1.25 for 1st hr; $1.00 for sub. ½ hr","$1.50 for 1st hr; $1.00 for sub. ½ hr","Same as Saturday","-"
"West Mall","1 Bukit Batok Central Link, Singapore 658713",1.3501199,103.7492141,"6am-5pm : $1.10 for 1st 2hrs or part thereof; $0.60 for sub. ½ hr or part thereof.","5pm-6am: $2.50 per entry.","6am-5pm: $1.10 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof; 5pm-6am: $2.50 per entry.","6am-6am next day: $2.50 per entry.","-"
"Westgate","3 Gateway Dr, Singapore 608532",1.3345193,103.7427929,"Daily: $1.30 for 1st hr; $0.50 for sub. 15 mins","6pm - 11.59pm: $2.50 per entry","Same as wkdays","Same as wkdays","-"
"Yew Tee Point","21 Choa Chu Kang North 6, Singapore 689578",1.3970193,103.7467952,"Daily: $1.18 for 1st hr; $0.64 for sub. ½ hr or part thereof.","-","-","-","-"
